destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets
7338,72,960027957090,18620,202,11282,130
3944,58,860000530566,7888,116,3944,58
20174,146,540457167578,48252,306,28078,160
76620,462,554581522513,117128,750,40508,288
102826,1362,540337036441,305470,2726,202644,1364
81474,1048,540295175753,256982,2106,175508,1058
245226,3454,540198264463,902342,8274,657116,4820
17288,98,540271457305,33056,168,15768,70
3204,44,553388135135,7302,90,4098,46
244894,1586,540264125584,373702,2764,128808,1178
243108,1574,540188933562,366448,2676,123340,1102
241870,1566,540059027258,367866,2710,125996,1144
240632,1558,540250605590,365748,2692,125116,1134
239468,1550,540063321979,365744,2704,126276,1154
237958,1538,540164529334,365394,2712,127436,1174
236448,1526,540166941616,361916,2674,125468,1148
235890,1528,540002359147,361294,2678,125404,1150
234104,1516,540220144634,357576,2642,123472,1126
232182,1502,540199293981,356442,2644,124260,1142
230734,1492,510218895157,355536,2646,124802,1154
228948,1480,510349301477,352090,2614,123142,1134
227500,1470,510350848612,347858,2566,120358,1096
225718,1454,510016031539,347780,2578,122062,1124
224068,1444,509907704933,344742,2552,120674,1108
222356,1432,510140493546,340146,2502,117790,1070
221662,1432,510116435409,340476,2520,118814,1088
220152,1420,509952328304,341622,2550,121470,1130
218642,1408,510144743816,340864,2552,122222,1144
217676,1404,510105738356,332762,2446,115086,1042
216166,1392,510207633277,335404,2498,119238,1106
215682,1394,510227703019,332816,2472,117134,1078
213216,1372,510179185558,329234,2438,116018,1066
211974,1368,510102696123,325788,2406,113814,1038
210736,1360,510173341560,323806,2390,113070,1030
209498,1352,510268412179,325904,2434,116406,1082
208050,1342,479962678557,322278,2396,114228,1054
206540,1330,479914250089,319344,2366,112804,1036
204272,1312,480278044065,318000,2366,113728,1054
202350,1298,480217444689,312786,2308,110436,1010
201244,1296,480191520625,313828,2342,112584,1046
199598,1282,480094113244,310894,2312,111296,1030
197750,1268,479995550148,309426,2308,111676,1040
197056,1268,480168208210,306356,2276,109300,1008
195270,1256,479920280815,306582,2298,111312,1042
194032,1248,480330546757,305280,2292,111248,1044
192794,1240,480538575835,301666,2252,108872,1012
191494,1230,479973424813,294862,2164,103368,934
190664,1228,480031255423,297912,2222,107248,994
189426,1220,480268221002,297562,2230,108136,1010
187776,1210,480246988012,293572,2190,105796,980
186402,1200,480154993581,289822,2148,103420,948
184818,1188,450182924470,291772,2192,106954,1004
183036,1172,450342480251,289110,2166,106074,994
181996,1168,450136504482,281614,2070,99618,902
180894,1162,450019500943,284256,2122,103362,960
178976,1144,450221802567,281322,2092,102346,948
